time,loc,vehicle,fare,disc,drivers
21:04:48,22,17ft,3637,0.0,2
21:04:48,22,19ft,3717,0.0,0
21:05:04,23,2 Wheeler,303,26.0,8
21:05:04,23,3 Wheeler,1054,0.0,8
21:05:04,23,Tata Ace,1328,0.0,8
21:05:04,23,Eeco,1205,0.0,8
21:05:04,23,Pickup 8ft,1610,0.0,8
21:05:04,23,E Loader,723,0.0,7
21:05:04,23,10ft,2441,0.0,8
21:05:04,23,14ft (Closed),4040,0.0,7
21:05:04,23,14ft,4374,0.0,8
21:05:04,23,14ft (Open),4374,0.0,2
21:05:04,23,17ft,4881,0.0,5
21:05:04,23,19ft,5759,0.0,5
21:05:16,24,2 Wheeler,65,5.0,8
21:05:16,24,3 Wheeler,359,0.0,8
21:05:16,24,Tata Ace,584,0.0,8
21:05:16,24,Eeco,444,0.0,8
21:05:16,24,Pickup 8ft,724,0.0,8
21:05:16,24,E Loader,269,0.0,8
21:05:16,24,10ft,1189,0.0,8
21:05:16,24,14ft (Closed),2389,0.0,7
21:05:16,24,14ft,2468,0.0,8
21:05:16,24,14ft (Open),2468,0.0,3
21:05:16,24,17ft,3139,0.0,2
21:05:16,24,19ft,3719,0.0,1
21:05:30,25,2 Wheeler,109,9.0,8
21:05:30,25,3 Wheeler,373,0.0,8
21:05:30,25,Tata Ace,618,0.0,8
21:05:30,25,Eeco,474,0.0,8
21:05:30,25,Pickup 8ft,767,0.0,8
21:05:30,25,E Loader,289,0.0,4
21:05:30,25,10ft,1945,0.0,8
21:05:30,25,14ft (Closed),3469,0.0,4
21:05:30,25,14ft,3561,0.0,8
21:05:30,25,14ft (Open),3561,0.0,4
21:05:30,25,17ft,4150,0.0,3
21:05:30,25,19ft,3730,0.0,0
21:05:45,26,2 Wheeler,79,6.0,8
21:05:45,26,3 Wheeler,389,0.0,8
21:05:45,26,Tata Ace,626,0.0,8
21:05:45,26,Eeco,481,0.0,6
21:05:45,26,Pickup 8ft,776,0.0,8
21:05:45,26,E Loader,296,0.0,8
21:05:45,26,10ft,1258,0.0,8
21:05:45,26,14ft (Closed),2481,0.0,5
21:05:45,26,14ft,2573,0.0,8
21:05:45,26,14ft (Open),2573,0.0,5
21:05:45,26,17ft,3161,0.0,3
21:05:45,26,19ft,3741,0.0,1
21:05:58,27,2 Wheeler,75,6.0,8
21:05:58,27,3 Wheeler,371,0.0,8
21:05:58,27,Tata Ace,556,0.0,8
21:05:58,27,Eeco,462,0.0,5
21:05:58,27,Pickup 8ft,753,0.0,8
21:05:58,27,E Loader,430,0.0,5
21:05:58,27,10ft,1225,0.0,5
21:05:58,27,14ft (Closed),2446,0.0,3
21:05:58,27,14ft,2534,0.0,8
21:05:58,27,14ft (Open),2534,0.0,7
21:05:58,27,17ft,3140,0.0,4
21:05:58,27,19ft,3720,0.0,1
21:06:12,28,2 Wheeler,81,7.0,8
21:06:12,28,3 Wheeler,387,0.0,8
21:06:12,28,Tata Ace,628,0.0,8
21:06:12,28,Eeco,482,0.0,4
21:06:12,28,Pickup 8ft,780,0.0,8
21:06:12,28,E Loader,294,0.0,8
21:06:12,28,10ft,1261,0.0,6
21:06:12,28,14ft (Closed),2494,0.0,3
21:06:12,28,14ft,2590,0.0,8
21:06:12,28,14ft (Open),2590,0.0,7
21:06:12,28,17ft,3151,0.0,4
21:06:12,28,19ft,3731,0.0,1
21:06:24,29,2 Wheeler,75,6.0,8
21:06:24,29,3 Wheeler,373,0.0,8
21:06:24,29,Tata Ace,607,0.0,8
21:06:24,29,Eeco,464,0.0,5
21:06:24,29,Pickup 8ft,754,0.0,8
21:06:24,29,E Loader,281,0.0,8
21:06:24,29,10ft,1227,0.0,8
21:06:24,29,14ft (Closed),2448,0.0,3
21:06:24,29,14ft,2536,0.0,8
21:06:24,29,14ft (Open),2536,0.0,7
21:06:24,29,17ft,3141,0.0,5
21:06:24,29,19ft,3721,0.0,1
21:06:37,30,2 Wheeler,78,6.0,8
21:06:37,30,3 Wheeler,383,0.0,8
21:06:37,30,Tata Ace,619,0.0,8
21:06:37,30,Eeco,475,0.0,8
21:06:37,30,Pickup 8ft,768,0.0,8
21:06:37,30,E Loader,291,0.0,8
21:06:37,30,10ft,1247,0.0,8
21:06:37,30,14ft (Closed),2470,0.0,3
21:06:37,30,14ft,2561,0.0,8
21:06:37,30,14ft (Open),2561,0.0,7
21:06:37,30,17ft,3153,0.0,6
21:06:37,30,19ft,3733,0.0,1
21:06:52,31,2 Wheeler,85,7.0,8
21:06:52,31,3 Wheeler,384,0.0,8
21:06:52,31,Tata Ace,632,0.0,7
21:06:52,31,Eeco,486,0.0,8
21:06:52,31,Pickup 8ft,782,0.0,4
21:06:52,31,E Loader,300,0.0,2
21:06:52,31,10ft,1917,0.0,2
21:06:52,31,14ft (Closed),2994,0.0,0
21:06:52,31,14ft,3088,0.0,1
21:06:52,31,14ft (Open),3088,0.0,1
21:06:52,31,17ft,3663,0.0,3
21:06:52,31,19ft,3890,0.0,0
21:07:06,32,2 Wheeler,90,7.0,8
21:07:06,32,3 Wheeler,414,0.0,8
21:07:06,32,Tata Ace,666,0.0,8
21:07:06,32,Eeco,514,0.0,8
21:07:06,32,Pickup 8ft,826,0.0,8
21:07:06,32,E Loader,319,0.0,5
21:07:06,32,10ft,1323,0.0,6
21:07:06,32,14ft (Closed),2576,0.0,0
21:07:06,32,14ft,2683,0.0,0
21:07:06,32,14ft (Open),2683,0.0,0
21:07:06,32,17ft,3173,0.0,5
21:07:06,32,19ft,3753,0.0,0
21:07:21,33,2 Wheeler,86,7.0,8
21:07:21,33,3 Wheeler,383,0.0,8
21:07:21,33,Tata Ace,581,0.0,8
21:07:21,33,Eeco,485,0.0,8
21:07:21,33,Pickup 8ft,783,0.0,5
21:07:21,33,E Loader,298,0.0,3
21:07:21,33,10ft,2617,0.0,7
21:07:21,33,14ft (Closed),3998,0.0,0
21:07:21,33,14ft,4094,0.0,1
21:07:21,33,14ft (Open),4094,0.0,1
21:07:21,33,17ft,4657,0.0,1
21:07:21,33,19ft,3737,0.0,0
21:07:33,34,2 Wheeler,93,8.0,8
21:07:33,34,3 Wheeler,433,0.0,8
21:07:33,34,Tata Ace,685,0.0,8
21:07:33,34,Eeco,534,0.0,8
21:07:33,34,Pickup 8ft,844,0.0,8
21:07:33,34,E Loader,338,0.0,8
21:07:33,34,10ft,1354,0.0,8
21:07:33,34,14ft (Closed),2597,0.0,4
